date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2010-10-16,1.39753,1.40000,1.39680,1.39858,1.39853,1.40100,1.39780,1.39928,1.39893,1913
2010-10-17,1.39864,1.39978,1.38306,1.39336,1.39934,1.39987,1.38321,1.39354,1.39345,60618
2010-10-18,1.39332,1.40036,1.37126,1.37256,1.39350,1.40045,1.37135,1.37274,1.37265,89350
2010-10-19,1.37254,1.39906,1.36973,1.39636,1.37272,1.39915,1.36982,1.39654,1.39645,71177
2010-10-20,1.39630,1.40496,1.38713,1.39192,1.39648,1.40510,1.38727,1.39210,1.39201,77818
2010-10-21,1.39190,1.39722,1.38570,1.39485,1.39208,1.39731,1.38590,1.39585,1.39535,60319
2010-10-22,1.39500,1.39509,1.39500,1.39509,1.39600,1.39609,1.39600,1.39609,1.39559,2
2010-10-23,1.39479,1.39893,1.39431,1.39670,1.39579,1.39993,1.39531,1.39770,1.39720,1626
2010-10-24,1.39666,1.40796,1.39340,1.39634,1.39766,1.40805,1.39349,1.39652,1.39643,54762
2010-10-25,1.39631,1.39816,1.38255,1.38580,1.39649,1.39825,1.38264,1.38598,1.38589,64478
2010-10-26,1.38584,1.38781,1.37338,1.37681,1.38602,1.38790,1.37347,1.37699,1.37690,71925
2010-10-27,1.37678,1.39447,1.37630,1.39297,1.37696,1.39456,1.37648,1.39315,1.39306,55880
2010-10-28,1.39300,1.39508,1.38067,1.39417,1.39318,1.39520,1.38076,1.39517,1.39467,60805
2010-10-29,1.39419,1.39419,1.39419,1.39419,1.39519,1.39519,1.39519,1.39519,1.39469,1
2010-10-30,1.39379,1.39619,1.39364,1.39585,1.39479,1.39714,1.39464,1.39655,1.39620,1336
2010-10-31,1.39587,1.40110,1.38638,1.38920,1.39657,1.40119,1.38647,1.38938,1.38929,55560
2010-11-01,1.38922,1.40577,1.38813,1.40326,1.38940,1.40586,1.38822,1.40344,1.40335,52416
2010-11-02,1.40324,1.41799,1.39916,1.41377,1.40342,1.41899,1.39925,1.41395,1.41386,72369
2010-11-03,1.41375,1.42818,1.41020,1.42065,1.41393,1.42827,1.41029,1.42083,1.42074,67453
2010-11-04,1.42068,1.42483,1.40228,1.40273,1.42086,1.42492,1.40248,1.40373,1.40323,68240
2010-11-05,1.40264,1.40264,1.40264,1.40264,1.40364,1.40364,1.40364,1.40364,1.40314,1
2010-11-06,1.40304,1.40544,1.40133,1.40544,1.40404,1.40614,1.40233,1.40614,1.40579,2281
2010-11-07,1.40550,1.40850,1.38870,1.39189,1.40620,1.40868,1.38879,1.39207,1.39198,62335
2010-11-08,1.39194,1.39730,1.37509,1.37719,1.39212,1.39739,1.37518,1.37737,1.37728,75165
2010-11-09,1.37716,1.38247,1.36702,1.37817,1.37734,1.38256,1.36714,1.37835,1.37826,86761
2010-11-10,1.37815,1.38207,1.36371,1.36663,1.37833,1.38216,1.36380,1.36681,1.36672,72228
2010-11-11,1.36660,1.37763,1.35733,1.36858,1.36678,1.37772,1.35745,1.36958,1.36908,89723
2010-11-12,1.36855,1.36855,1.36855,1.36855,1.36955,1.36955,1.36955,1.36955,1.36905,1
2010-11-13,1.36875,1.37173,1.36388,1.37017,1.36975,1.37273,1.36488,1.37087,1.37052,3788
2010-11-14,1.37025,1.37504,1.35632,1.35863,1.37095,1.37513,1.35641,1.35881,1.35872,62554
2010-11-15,1.35865,1.36552,1.34466,1.34883,1.35883,1.36561,1.34475,1.34901,1.34892,82694
2010-11-16,1.34881,1.35655,1.34604,1.35286,1.34899,1.35664,1.34616,1.35304,1.35295,60086
2010-11-17,1.35281,1.36669,1.35245,1.36418,1.35299,1.36678,1.35263,1.36436,1.36427,58872
2010-11-18,1.36422,1.37310,1.36081,1.36675,1.36440,1.37319,1.36090,1.36775,1.36725,51678
2010-11-20,1.36625,1.37437,1.36625,1.37167,1.36825,1.37500,1.36825,1.37197,1.37182,3247
2010-11-21,1.37169,1.37857,1.35764,1.36258,1.37199,1.37869,1.35773,1.36276,1.36267,60488
2010-11-22,1.36261,1.36322,1.33612,1.33657,1.36279,1.36340,1.33622,1.33675,1.33666,79084
2010-11-23,1.33674,1.34207,1.32840,1.33347,1.33692,1.34216,1.32860,1.33365,1.33356,77873
2010-11-24,1.33344,1.33867,1.32869,1.33585,1.33362,1.33882,1.32879,1.33610,1.33597,45558
2010-11-25,1.33581,1.33619,1.32007,1.32367,1.33606,1.33644,1.32019,1.32467,1.32417,64322
2010-11-27,1.32372,1.33522,1.32360,1.32789,1.32472,1.33622,1.32460,1.32839,1.32814,6811
2010-11-28,1.32793,1.33013,1.30633,1.31248,1.32843,1.33024,1.30645,1.31266,1.31257,66719
2010-11-29,1.31245,1.31498,1.29684,1.29810,1.31263,1.31514,1.29704,1.29840,1.29825,71820
2010-11-30,1.29815,1.31810,1.29708,1.31374,1.29845,1.31825,1.29720,1.31394,1.31384,66591
2010-12-01,1.31377,1.32467,1.30596,1.32081,1.31397,1.32479,1.30608,1.32099,1.32090,65688
2010-12-02,1.32088,1.34336,1.31931,1.34099,1.32106,1.34436,1.31944,1.34199,1.34149,59751
2010-12-03,1.34124,1.34124,1.34124,1.34124,1.34224,1.34224,1.34224,1.34224,1.34174,1
2010-12-04,1.34083,1.34412,1.33745,1.33751,1.34183,1.34512,1.33805,1.33811,1.33781,2295
2010-12-05,1.33746,1.34213,1.32464,1.33070,1.33806,1.34233,1.32474,1.33088,1.33079,60320
2010-12-06,1.33036,1.34002,1.32569,1.32602,1.33054,1.34013,1.32587,1.32622,1.32612,60642
2010-12-07,1.32592,1.32797,1.31799,1.32608,1.32612,1.32809,1.31812,1.32626,1.32617,63983
2010-12-08,1.32605,1.33220,1.31642,1.32376,1.32623,1.33232,1.31654,1.32394,1.32385,57038
2010-12-09,1.32381,1.32819,1.31781,1.32210,1.32399,1.32831,1.31792,1.32310,1.32260,43051
2010-12-10,1.32215,1.32215,1.32215,1.32215,1.32315,1.32315,1.32315,1.32315,1.32265,1
2010-12-11,1.32203,1.32306,1.31900,1.31949,1.32303,1.32392,1.31950,1.31999,1.31974,1000
2010-12-12,1.31961,1.34331,1.31823,1.33897,1.32011,1.34343,1.31835,1.33915,1.33906,44709
