date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2020-07-23,8.87106,8.91102,8.82547,8.85571,8.87958,8.91490,8.83006,8.86383,8.85977,700823
2020-07-24,8.85560,8.87664,8.79518,8.81945,8.86383,8.88052,8.82518,8.84945,8.83445,701597
2020-07-26,8.81046,8.84353,8.81046,8.83407,8.84046,8.85939,8.83972,8.84625,8.84016,24739
2020-07-27,8.83407,8.83497,8.71486,8.71873,8.84629,8.84631,8.71890,8.72590,8.72232,679315
2020-07-28,8.71878,8.79168,8.70854,8.77455,8.72588,8.79627,8.71525,8.78286,8.77870,689557
2020-07-29,8.77456,8.78295,8.70189,8.72775,8.78285,8.78895,8.71651,8.73769,8.73272,664760
2020-07-30,8.72777,8.79133,8.66745,8.67721,8.73769,8.79562,8.68378,8.69110,8.68416,713323
2020-07-31,8.67726,8.79527,8.63666,8.76697,8.69110,8.79989,8.64397,8.79148,8.77923,849113
2020-08-02,8.76662,8.77404,8.75290,8.77222,8.79022,8.79953,8.77404,8.78408,8.77815,13149
2020-08-03,8.77222,8.80423,8.72384,8.74331,8.78499,8.81743,8.74272,8.75150,8.74741,636412
2020-08-04,8.74313,8.78476,8.70671,8.71575,8.75150,8.78882,8.71890,8.72194,8.71884,664077
2020-08-05,8.71588,8.72289,8.64515,8.65418,8.72196,8.73058,8.64925,8.66255,8.65836,697131
2020-08-06,8.65420,8.72319,8.61892,8.68627,8.66255,8.72771,8.62653,8.69583,8.69105,800357
2020-08-07,8.68627,8.77461,8.68395,8.74142,8.69580,8.77821,8.69213,8.76279,8.75211,804423
2020-08-09,8.73746,8.75034,8.73370,8.74431,8.76746,8.77411,8.74633,8.75485,8.74958,15824
2020-08-10,8.74431,8.76154,8.71056,8.75280,8.75489,8.77282,8.71572,8.76620,8.75950,489171
2020-08-11,8.75281,8.77176,8.70258,8.75939,8.76640,8.77769,8.70518,8.77109,8.76524,628464
2020-08-12,8.75933,8.78855,8.66858,8.67872,8.77109,8.79591,8.67461,8.69300,8.68586,628234
2020-08-13,8.67945,8.70572,8.64999,8.68620,8.69364,8.70968,8.65371,8.69178,8.68899,467470
2020-08-14,8.68610,8.72955,8.67134,8.68068,8.69180,8.73300,8.67524,8.70042,8.69055,533837
2020-08-16,8.67383,8.68185,8.67067,8.67235,8.70383,8.70957,8.68329,8.68514,8.67874,12760
2020-08-17,8.67239,8.70517,8.66130,8.68087,8.68514,8.70856,8.66525,8.68855,8.68471,480593
2020-08-18,8.68082,8.68228,8.60868,8.62894,8.68867,8.69076,8.61235,8.63692,8.63293,606132
2020-08-19,8.62879,8.71402,8.60153,8.69515,8.63710,8.72027,8.62659,8.69942,8.69729,649226
2020-08-20,8.69516,8.77605,8.69038,8.69807,8.69940,8.77936,8.69614,8.70608,8.70208,588898
2020-08-21,8.69811,8.81627,8.68798,8.78123,8.70605,8.83136,8.69695,8.81123,8.79623,590954
2020-08-23,8.77545,8.79160,8.76864,8.78542,8.80545,8.80639,8.78414,8.79569,8.79056,19380
2020-08-24,8.78546,8.80003,8.73954,8.78459,8.79571,8.80841,8.74271,8.79271,8.78865,447721
2020-08-25,8.78463,8.79276,8.73055,8.74784,8.79270,8.79857,8.73450,8.75737,8.75260,648675
2020-08-26,8.74794,8.78815,8.69562,8.70818,8.75745,8.79181,8.71575,8.71637,8.71227,553300
2020-08-27,8.70814,8.77331,8.65591,8.72338,8.71637,8.77868,8.66301,8.73039,8.72688,775181
2020-08-28,8.72341,8.73302,8.60675,8.61448,8.73036,8.73953,8.61052,8.63271,8.62359,669059
2020-08-30,8.61945,8.63000,8.60605,8.61469,8.64945,8.65520,8.62296,8.62571,8.62020,33107
2020-08-31,8.61461,8.65662,8.60438,8.64775,8.62553,8.67959,8.60805,8.65207,8.64991,493831
2020-09-01,8.64773,8.69665,8.59381,8.67452,8.65201,8.70275,8.59768,8.68435,8.67943,672261
2020-09-02,8.67382,8.74125,8.66555,8.71727,8.68325,8.74440,8.66975,8.72245,8.71986,743862
2020-09-03,8.71724,8.77763,8.71010,8.74346,8.72247,8.78076,8.71969,8.74816,8.74581,722111
2020-09-04,8.74346,8.79714,8.71960,8.72305,8.74810,8.80093,8.72517,8.75305,8.73805,663818
2020-09-06,8.71671,8.74734,8.71492,8.73212,8.74671,8.76500,8.73811,8.74422,8.73817,21946
2020-09-07,8.73211,8.77706,8.72644,8.76813,8.74415,8.79145,8.73376,8.77756,8.77285,433413
2020-09-08,8.76813,8.83741,8.75855,8.83491,8.77760,8.85159,8.76621,8.84102,8.83797,627670
2020-09-09,8.83493,8.85500,8.73108,8.74057,8.84102,8.85839,8.74043,8.74761,8.74409,607352
2020-09-10,8.74056,8.77907,8.68301,8.76207,8.74777,8.79053,8.68655,8.76722,8.76464,596003
2020-09-11,8.76207,8.79986,8.72705,8.76484,8.76712,8.80439,8.73078,8.78678,8.77581,505650
2020-09-13,8.76530,8.77861,8.74685,8.76466,8.79530,8.80415,8.77196,8.77212,8.76839,11923
2020-09-14,8.76466,8.78712,8.75141,8.76707,8.77208,8.79771,8.75452,8.77193,8.76950,369087
2020-09-15,8.76707,8.79703,8.73725,8.79248,8.77196,8.80708,8.74220,8.79938,8.79593,456272
2020-09-16,8.79248,8.82709,8.76215,8.80610,8.79939,8.85709,8.76528,8.81216,8.80913,594080
2020-09-17,8.80607,8.86412,8.75149,8.77255,8.81220,8.86979,8.76720,8.77795,8.77525,609576
