date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2020-01-12,1.30494,1.30662,1.30486,1.30662,1.30576,1.30681,1.30576,1.30681,1.30672,243
2020-01-13,1.30664,1.30670,1.30306,1.30558,1.30684,1.30687,1.30326,1.30576,1.30567,10782
2020-01-14,1.30556,1.30786,1.30463,1.30670,1.30574,1.30803,1.30479,1.30690,1.30680,11494
2020-01-15,1.30668,1.30775,1.30344,1.30395,1.30687,1.30790,1.30359,1.30414,1.30404,10747
2020-01-16,1.30397,1.30556,1.30317,1.30406,1.30417,1.30571,1.30333,1.30425,1.30415,9310
2020-01-17,1.30409,1.30744,1.30330,1.30648,1.30427,1.30759,1.30348,1.30683,1.30666,10064
2020-01-19,1.30572,1.30667,1.30560,1.30639,1.30639,1.30719,1.30635,1.30658,1.30648,315
2020-01-20,1.30637,1.30717,1.30426,1.30447,1.30654,1.30732,1.30449,1.30469,1.30458,5227
2020-01-21,1.30450,1.30792,1.30440,1.30734,1.30471,1.30808,1.30460,1.30752,1.30743,10267
2020-01-22,1.30737,1.31519,1.30351,1.31414,1.30755,1.31535,1.30372,1.31433,1.31424,18779
2020-01-23,1.31417,1.31708,1.31229,1.31271,1.31434,1.31725,1.31249,1.31290,1.31280,13455
2020-01-24,1.31273,1.31522,1.31161,1.31408,1.31293,1.31537,1.31205,1.31508,1.31458,12223
2020-01-26,1.31494,1.31615,1.31479,1.31610,1.31585,1.31638,1.31518,1.31629,1.31620,631
2020-01-27,1.31612,1.31989,1.31470,1.31873,1.31632,1.32007,1.31491,1.31892,1.31882,14365
2020-01-28,1.31874,1.32051,1.31526,1.31633,1.31895,1.32065,1.31562,1.31651,1.31642,11310
2020-01-29,1.31634,1.32088,1.31581,1.31975,1.31654,1.32105,1.31597,1.31996,1.31986,10436
2020-01-30,1.31974,1.32261,1.31898,1.32116,1.31993,1.32275,1.31914,1.32132,1.32124,13935
2020-01-31,1.32117,1.32526,1.31944,1.32351,1.32135,1.32542,1.31963,1.32381,1.32366,17448
2020-02-02,1.32351,1.32435,1.32335,1.32410,1.32445,1.32458,1.32407,1.32428,1.32419,226
2020-02-03,1.32413,1.33031,1.32311,1.32948,1.32430,1.33046,1.32327,1.32967,1.32957,15021
2020-02-04,1.32946,1.33010,1.32631,1.32824,1.32964,1.33030,1.32648,1.32843,1.32834,12908
2020-02-05,1.32820,1.33022,1.32621,1.32848,1.32842,1.33038,1.32638,1.32871,1.32859,15947
2020-02-06,1.32850,1.33085,1.32694,1.32865,1.32873,1.33101,1.32711,1.32889,1.32877,11970
2020-02-07,1.32869,1.33199,1.32772,1.33046,1.32890,1.33216,1.32795,1.33074,1.33060,14646
2020-02-09,1.33007,1.33109,1.32998,1.33109,1.33105,1.33129,1.33067,1.33129,1.33119,376
2020-02-10,1.33112,1.33285,1.32876,1.33173,1.33131,1.33303,1.32894,1.33193,1.33183,12225
2020-02-11,1.33171,1.33192,1.32758,1.32901,1.33190,1.33212,1.32774,1.32919,1.32910,10940
2020-02-12,1.32899,1.32950,1.32351,1.32555,1.32917,1.32970,1.32369,1.32575,1.32565,11137
2020-02-13,1.32554,1.32705,1.32397,1.32654,1.32572,1.32722,1.32412,1.32673,1.32664,13312
2020-02-14,1.32651,1.32683,1.32351,1.32468,1.32671,1.32700,1.32367,1.32568,1.32518,9111
2020-02-16,1.32479,1.32491,1.32439,1.32443,1.32579,1.32591,1.32458,1.32462,1.32452,223
2020-02-17,1.32445,1.32496,1.32245,1.32365,1.32464,1.32513,1.32263,1.32387,1.32376,4838
2020-02-18,1.32369,1.32778,1.32337,1.32536,1.32387,1.32794,1.32357,1.32555,1.32546,11931
2020-02-19,1.32534,1.32552,1.32148,1.32212,1.32552,1.32572,1.32161,1.32229,1.32220,10997
2020-02-20,1.32214,1.32681,1.32110,1.32608,1.32232,1.32697,1.32130,1.32625,1.32617,14307
2020-02-21,1.32605,1.32678,1.32015,1.32200,1.32623,1.32696,1.32032,1.32300,1.32250,15604
2020-02-23,1.32507,1.32576,1.32416,1.32529,1.32546,1.32617,1.32478,1.32547,1.32538,1052
2020-02-24,1.32529,1.33070,1.32471,1.32867,1.32551,1.33085,1.32488,1.32885,1.32876,17663
2020-02-25,1.32869,1.33048,1.32668,1.32791,1.32887,1.33065,1.32685,1.32813,1.32802,19319
2020-02-26,1.32789,1.33458,1.32708,1.33429,1.32811,1.33485,1.32724,1.33448,1.33439,22432
2020-02-27,1.33427,1.33924,1.33161,1.33875,1.33446,1.33969,1.33177,1.33895,1.33885,28174
2020-02-28,1.33872,1.34638,1.33853,1.33918,1.33893,1.34654,1.33870,1.34018,1.33968,42857
2020-03-01,1.34336,1.34367,1.34039,1.34048,1.34436,1.34460,1.34059,1.34070,1.34059,1857
2020-03-02,1.34051,1.34142,1.33142,1.33241,1.34072,1.34164,1.33160,1.33258,1.33250,41212
2020-03-03,1.33242,1.33901,1.33184,1.33764,1.33263,1.33922,1.33208,1.33785,1.33774,43030
2020-03-04,1.33762,1.34308,1.33259,1.33856,1.33781,1.34324,1.33314,1.33876,1.33866,30299
2020-03-05,1.33859,1.34378,1.33859,1.33915,1.33878,1.34395,1.33878,1.33936,1.33926,22803
2020-03-06,1.33912,1.34387,1.33785,1.34186,1.33934,1.34405,1.33807,1.34286,1.34236,35757
2020-03-08,1.35445,1.36262,1.35384,1.36233,1.35545,1.36296,1.35472,1.36254,1.36244,7366
2020-03-09,1.36230,1.37559,1.35169,1.36606,1.36253,1.37659,1.35192,1.36639,1.36623,81046
2020-03-10,1.36609,1.37954,1.36082,1.37308,1.36641,1.37973,1.36106,1.37340,1.37324,61830
2020-03-11,1.37305,1.37938,1.36805,1.37723,1.37337,1.37971,1.36825,1.37744,1.37733,45729
2020-03-12,1.37720,1.39600,1.37062,1.39435,1.37743,1.39639,1.37100,1.39470,1.39453,76410
2020-03-13,1.39436,1.39942,1.37811,1.38001,1.39463,1.39969,1.37836,1.38101,1.38051,83567
2020-03-15,1.38866,1.38882,1.37273,1.37834,1.38966,1.38982,1.37373,1.37922,1.37878,11504
2020-03-16,1.37862,1.40163,1.37860,1.40116,1.37899,1.40231,1.37899,1.40141,1.40129,103747
2020-03-17,1.40113,1.42754,1.39598,1.42411,1.40139,1.42787,1.39625,1.42438,1.42424,80836
2020-03-18,1.42410,1.46496,1.41655,1.44786,1.42435,1.46558,1.41686,1.44848,1.44817,108626
2020-03-19,1.44783,1.46666,1.44191,1.44982,1.44840,1.46706,1.44223,1.45028,1.45005,101833
2020-03-20,1.44983,1.45271,1.41477,1.43431,1.45021,1.45318,1.41512,1.43531,1.43481,90484
2020-03-22,1.43571,1.44865,1.43496,1.44623,1.43671,1.44920,1.43566,1.44685,1.44654,3325
2020-03-23,1.44630,1.45585,1.43343,1.44784,1.44687,1.45620,1.43385,1.44814,1.44799,121367
2020-03-24,1.44788,1.45307,1.43738,1.44393,1.44816,1.45333,1.43761,1.44427,1.44410,74008
2020-03-25,1.44394,1.44598,1.41766,1.42212,1.44432,1.44645,1.41799,1.42244,1.42228,84674
2020-03-26,1.42209,1.42747,1.40093,1.40402,1.42242,1.42777,1.40115,1.40432,1.40417,74999
2020-03-27,1.40404,1.41533,1.39203,1.39832,1.40436,1.41572,1.39232,1.39932,1.39882,80997
2020-03-29,1.40151,1.40812,1.40093,1.40474,1.40212,1.40842,1.40193,1.40514,1.40494,2844
2020-03-30,1.40474,1.41887,1.40101,1.41794,1.40509,1.41937,1.40136,1.41829,1.41812,66588
2020-03-31,1.41791,1.43482,1.40102,1.40761,1.41826,1.43507,1.40138,1.40798,1.40780,92198
2020-04-01,1.40763,1.42709,1.40639,1.41504,1.40803,1.42736,1.40683,1.41540,1.41522,73832
2020-04-02,1.41499,1.42975,1.40772,1.41286,1.41539,1.43005,1.40817,1.41330,1.41308,79440
2020-04-03,1.41292,1.42233,1.40930,1.41992,1.41331,1.42263,1.40962,1.42092,1.42042,64743
2020-04-05,1.42216,1.42606,1.42165,1.42524,1.42316,1.42634,1.42265,1.42558,1.42541,3205
2020-04-06,1.42521,1.42579,1.40772,1.41108,1.42556,1.42613,1.40848,1.41156,1.41132,58747
2020-04-07,1.41109,1.41214,1.39437,1.40148,1.41149,1.41252,1.39464,1.40181,1.40165,63358
2020-04-08,1.40151,1.40807,1.39897,1.40014,1.40183,1.40837,1.39922,1.40042,1.40028,51800
